x,y,CI_left,CI_right
2021-05-28,267987,0.008,0.1125
2021-05-29,251806,0.008,0.1125
2021-05-30,240581,0.008,0.1125
2021-05-31,260919,0.008,0.1125
2021-06-01,251097,0.008,0.1125
2021-06-02,269871,0.008,0.1125
2021-06-03,278341,0.008,0.1125
